LB.10	Aakkâr
WS.01	A'ana
CH.AG	Aargau
KZ.12510143	Abai Region
NG.45	Abia State
CI.93	Abidjan
GE.02	Abkhazia
IT.01	Abruzzo
AZ.01	Abşeron
AE.01	Abu Dhabi
YE.01	Abyan Governorate
ID.01	Aceh
BS.24	Acklins
YT.97601	Acoua
SM.01	Acquaviva
BR.01	Acre
OM.01	Ad Dakhiliyah
YE.18	Aḑ Ḑāli‘
OM.09	Ad Dhahirah
CM.10	Adamaoua
NG.35	Adamawa
TR.81	Adana
LV.34	Ādaži
ET.44	Addis Ababa
YE.02	Aden
TR.02	Adıyaman Province
GE.04	Adjara
PR.001	Adjuntas
DZ.34	Adrar
MR.07	Adrar
RU.01	Adygeya Republic
ET.45	Āfar
TR.03	Afyonkarahisar Province
NE.01	Agadez
MU.21	Agalega Islands
GU.AH	Agana Heights
GU.AT	Agat
AZ.02	Ağcabǝdi
AZ.03	Ağdam
AZ.04	Ağdaş
NO.42	Agder
TR.04	Ağrı
AZ.05	Ağstafa
AZ.06	Agsu District
PR.003	Aguada
PR.005	Aguadilla
PR.007	Aguas Buenas
MX.01	Aguascalientes
GH.12	Ahafo
TM.01	Ahal
SV.01	Ahuachapán
PR.009	Aibonito
JP.01	Aichi
WS.02	Aiga-i-le-Tai
TL.AL	Aileu
MH.007	Ailinginae Atoll
MH.010	Ailinglaplap Atoll
MH.030	Ailuk Atoll
PW.01	Aimeliik
DZ.35	Aïn Defla
DZ.36	Aïn Témouchent
TL.AN	Ainaro
PW.02	Airai
CK.11695124	Aitutaki
NR.01	Aiwo District
LV.01	Aizkraukle Municipality
SI.01	Ajdovščina Municipality
JO.20	Ajlun
AE.02	Ajman
NO.01	Akershus
JP.02	Akita
TR.75	Aksaray
NG.21	Akwa Ibom State
KW.04	Al Aḩmadī
IQ.01	Al Anbar
KW.02	Al Asimah
SA.02	Al Bahah Region
OM.11	Al Batinah North
OM.02	Al Batinah South
YE.20	Al Bayda
OM.10	Al Buraimi
LY.79	Al Buţnān
QA.13	Al Daayen
KW.07	Al Farwaniyah
YE.08	Al Hudaydah
LY.63	Al Jabal al Akhḑar
LY.81	Al Jafārah
KW.05	Al Jahra Governorate
YE.21	Al Jawf
SA.20	Al Jawf Region
SD.38	Al Jazīrah
LY.64	Al Jufrah
QA.04	Al Khor
LY.65	Al Kufrah
YE.03	Al Mahrah Governorate
YE.10	Al Mahwit Governorate
LY.66	Al Marj
LY.82	Al Marqab
IQ.03	Al Muthanna Governorate
SD.39	Al Qaḑārif
IQ.04	Al Qādisīyah
LY.83	Al Wāḩāt
QA.10	Al Wakrah
OM.03	Al Wusta Governorate
US.AL	Alabama
BR.02	Alagoas
CR.01	Alajuela Province
AX.212	Ålands landsbygd
AX.213	Ålands skärgård
MG.33	Alaotra Mangoro
US.AK	Alaska
RO.01	Alba County
CA.01	Alberta
IR.44	Alborz Province
GG.8989934	Alderney
SY.09	Aleppo
EG.06	Alexandria
DZ.01	Algiers
SY.01	Al-Hasakah
DJ.01	Ali Sabieh
BJ.07	Alibori
KZ.02	Almaty
KZ.01	Almaty Oblysy
WF.98611	Alo
SA.08	Al-Qassim Region
QA.14	Al-Shahaniya
GT.01	Alta Verapaz
RU.03	Altai
RU.04	Altai Krai
PY.23	Alto Paraguay
PY.01	Alto Paraná
LV.02	Alūksne Municipality
LT.56	Alytus
PY.02	Amambay Department
YE.26	Amanat Alasimah
BR.03	Amapá
TR.05	Amasya
BR.04	Amazonas
PE.01	Amazonas
VE.01	Amazonas
CO.01	Amazonas Department
ET.46	Amhara
JO.16	Amman
CY.01	Ammochostos
TH.77	Amnat Charoen
MG.22	Amoron'i Mania
RU.05	Amur Oblast
VN.01	An Giang Province
IQ.17	An Najaf
LY.67	An Nuqāţ al Khams
NR.02	Anabar District
